,train_loss,validate_loss,validate_accuracy
0,0.6587858322311099,2.7851546930721076,11.68
1,0.47887811062505414,0.535625896986044,80.58
2,0.440355660099499,0.4687444845144754,83.46000000000001
3,0.41614424326520444,0.45747159991660874,83.75
4,0.39750174809009853,0.4368217605141839,84.32
5,0.38217959393309814,0.4244779854252489,85.02
6,0.3690690426745007,0.411761645264736,85.25
7,0.3577887040836597,0.3992748554929852,85.97
8,0.34856341980670247,0.3966144625543739,86.05000000000001
9,0.3395036192648803,0.38852874844634994,86.02
10,0.3314578195151179,0.37745280918754587,86.56
11,0.3243143947775872,0.3890868766812874,86.28
12,0.31696871255745945,0.38710012293102225,85.98
13,0.31140809465295155,0.36823430620519454,86.97
14,0.3055358054134273,0.36167104835485725,87.07000000000001
15,0.2997204204191796,0.36473756178668054,86.82
16,0.2948561030838607,0.3575243344335762,87.44
17,0.2898052442118691,0.3917189243454477,86.21
18,0.28489729449873635,0.35750094638501284,87.11
19,0.2805241557535595,0.34977955769385355,87.7
20,0.2769184541920828,0.35499800380288693,87.24
21,0.27214562595781056,0.35151860121688316,87.27000000000001
22,0.2681260720007991,0.340684117139886,87.51
23,0.2656803529373868,0.34540979034447905,87.64
24,0.26185477637101484,0.357951040256607,87.37
25,0.25829241455104357,0.34524584121548224,87.72
26,0.25537059995583944,0.3494355962441031,87.53999999999999
27,0.2521570118620815,0.3421070419894584,87.88
28,0.24848312703100778,0.33169097320801405,88.03999999999999
29,0.24595902362917213,0.3358212348462949,87.94
